1 Finsbury Circus,"1 Finsbury Circus, EC2M 7EB, London, England",/building/17641
10 Downing Street,"10 Downing Street, SW1A 2AA, London, England",/building/4968
10 New Burlington Street,"10 New Burlington Street, W1S 3BF, London, England",/building/19945
100 Victoria Embankment - Unilever House,"100 Victoria Embankment, EC4Y 0DY, London, England",/building/2810
106 Gladstone Road,"106 Gladstone Road, Wimbledon, SW19 1QW, London, England",/building/20337
111 Tyers Street,"111 Tyers Street, SE11 5HS, London, England",/building/20202
13-18 Sidworth Street,"13-18 Sidworth Street, E8 3SD, London, England",/building/20285
142 Bermondsey Street,"Flat B, 142 Bermondsey Street, SE1 3TX, London, England",/building/20371
15 and a half Consort Road,"15 and a half Consort Road, SE15 2PH, London, England",/building/16428
15 Edge Hill,"15 Edge Hill, SW19 4LR, London, England",/building/18377
155 Holland Park Avenue,"155 Holland Park Avenue, W11 4UX, London, England",/building/4732
15b Herne Hill Road,"15b Herne Hill Road, SE24 0AU, London, England",/building/19317
17-21 Wenlock Road,"17-21 Wenlock Road, N1 7SL, London, England",/building/20149
18 Stafford Terrace - The Sambourne Family Home,"18 Stafford Terrace, W8 7BH, London, England",/building/1793
19 Mayfield Road,"19 Mayfield Road, N8 9LL, London, England",/building/18758
2 [point] 88,"10 Regal Lane, NW1 7TH, London, England",/building/20335
2 Willow Road,"2 Willow Road, NW3 1TH, London, England",/building/1549
20 Winkley Street,"20 Winkley Street, E2 6PY, London, England",/building/20042
22 Whitehall - DFID (formerly 26 Whitehall),"Whitehall, SW1A 2EG, London, England",/building/1533
24 St John's Church Road,"24 St John's Church Road, E9 6EJ, London, England",/building/20430
24 St Thomas's Place,"24 St Thomas's Place, E9 7PW, London, England",/building/20199
264 Westbourne Park Road,"264 Westbourne Park Road, W11 1EJ, London, England",/building/16829
30 Cardozo Road,"30 Cardozo Road, N7 9RL, London, England",/building/19581
30 Crown Place,"30 Crown Place, EC2A 4ES, London, England",/building/18272
30 St Mary Axe (The Gherkin),"30 St Mary Axe, EC3A 8EP, London, England",/building/14974
31b St Mary's Road,"31b St Mary's Road, SW19 7BP, London, England",/building/17783
33 Heath Hurst Road,"33 Heath Hurst Road, Hampstead, NW3 2RU, London, England",/building/19980
357 Kennington Lane - DSDHA Studio,"357 Kennington Lane, Vauxhall, SE11 5QY, London, England",/building/20262
37a Leamington Road Villas,"37a Leamington Road Villas, W11 1HT, London, England",/building/19314
39-47 Gordon Square (Birkbeck School of Arts),"43 Gordon Square, WC1H 0PD, London, England",/building/18763
3floor-in2 Apartment,"17 Elgin Crescent, W11 2JD, London, England",/building/19854
4 Bayer House,"Golden Lane Estate, EC1Y 0RN, London, England",/building/4090
4 Carmarthen Place,"4 Carmarthen Place, SE1 3TS, London, England",/building/17850
5 Pancras Square,"5 Pancras Square, N1C 4AG, London, England",/building/693
52 Whitmore Road,"52 Whitmore Road, N1 5QG, London, England",/building/19435
54 Cambria Road,"54 Cambria Road, SE5 9AS, London, England",/building/18792
55 Baker Street,"55 Baker Street, W1U 8EW, London, England",/building/16915
55 Broadway (London Underground Head Office),"55 Broadway, SW1H 0BD, London, England",/building/1562
58a Gondar Gardens,"58a Gondar Gardens, NW6 1HG, London, England",/building/20244
6 Bevis Marks,"Entrance on Bury Court, EC3A 7BA, London, England",/building/20081
6 Segal Close,"6 Segal Close, SE23 1PP, London, England",/building/20369
639 Tottenham High Road,"639 Tottenham High Road, N17 8AA, London, England",/building/19204
68 Dean Street,"68 Dean Street, W1D 4QJ, London, England",/building/1832
73 Chester Road,"73 Chester Road, N19 5DH, London, England",/building/16875
79 Sterndale Road,"79 Sterndale Road, W14 0HX, London, England",/building/20317
"8 Stoneleigh Terrace (Highgate New Town, Stage 1)","8 Stoneleigh Terrace, N19 5TY, London, England",/building/5023
80 Great Suffolk Street,"80 Great Suffolk Street, SE1 0BE, London, England",/building/20015
87 Woodland Rise,"87 Woodland Rise, N10 3UN, London, England",/building/20331
88 Wood Street,"88 Wood Street, EC2V 7AJ, London, England",/building/4909
8a Belsize Court Garages,"8a Belsize Court Garages, NW3 5AJ, London, England",/building/19315
9 Parkside Avenue,"9 Parkside Avenue, SW19 5ES, London, England",/building/15125
Abbey Mills Pumping Station,"Abbey Lane, E15 2RW, London, England",/building/4157
Acton Town Hall,"Acton High Street, W3 6NG, London, England",/building/16007
Adaptable House,"6 Doughty Mews, WC1N 2PG, London, England",/building/-2994
Adelaide Wharf,"118/120 Queensbridge Road (at junction Whiston Road), E2 8PD, London, England",/building/17162
Admiralty House,"Ripley Courtyard, Whitehall, SW1A 2DY, London, England",/building/14993
Adobe Village Hounslow Heath Infant and Nursery School,"Martindale Road, TW4 7HE, London, England",/building/18713
Airport House,"Purley Way, Croydon, CR0 0XZ, London, England",/building/15847
Al Jazeera Media Network UK,"Main Reception, The Shard, 32 London Bridge Street, SE1 9SG, London, England",/building/20264
AL_A Studio,"14a Brewery Road, N7 9NH, London, England",/building/20077
Alexandra Palace - Uncover the People's Palace,"Meet at East Court (Ice Rink entrance), Alexandra Palace Way, N22 7AY, London, England",/building/-3309
Alexandra Road,"13(b) Rowley Way, Abbey Road, NW8 0SF, London, England",/building/16594
Alexandra Road Park and Tenants Hall,"Langtry Walk/Rowley Way,, NW8 0SW, London, England",/building/20316
All Hallows Parish Church,"Chertsey Road, Twickenham, Middlesex, TW1 1EW, London, England",/building/3000
All Saints Carshalton,"High Street, Carshalton, SM5 3AQ, London, England",/building/16235
Allies and Morrison,"85 Southwark Street, SE1 0HX, London, England",/building/15010
Angel Building,"407 St John Street, EC1V 4AB, London, England",/building/18241
Anise Gallery / AVR London,"13a Shad Thames, SE1 2PU, London, England",/building/20266
Apothecaries' Hall,"Black Friars Lane, EC4V 6EJ, London, England",/building/3946
Arcola Theatre,"24 Ashwin Street, E8 3DL, London, England",/building/18268
Argentine Ambassador's Residence,"49 Belgrave Square, SW1X 8QZ, London, England",/building/16260
Ark Brunel Primary Academy,"Middle Row, W10 5AT, London, England",/building/20370
Armoury House,"City Road, EC1Y 2BQ, London, England",/building/20298
Arriva Bus Tour,"London, England",/building/20087
Artchive - Philip Hughes Studio,"62 Rochester Place, NW1 9JX, London, England",/building/15763
Artist Studio,"6 Kensington Court Mews, W8 5DR, London, England",/building/18166
Arts and Crafts! at The Lookout,"Isis Education Centre at The LookOut, Hyde Park (north of the Serpentine, south-west of Speaker's Corner), W2 2UH, London, England",/building/20451
ArtsLav,"180 Kennington Lane, SE11 4UZ, London, England",/building/19694
Ashmount Primary School,"83 Crouch Hill, N8 9EG, London, England",/building/19202
Asia House,"63 New Cavendish Street, W1G 7LP, London, England",/building/16751
Asylum Road,"126a Asylum Road, SE15 2LW, London, England",/building/20428
Baitul Futuh Mosque,"Ahmadiyya Muslim Association, 181 London Road, Morden, SM4 5PT, London, England",/building/15924
Bancroft's School,"611 High Road, Woodford Green, IG8 0RF, London, England",/building/3282
Bank of England,"Threadneedle Street, EC2R 8AH, London, England",/building/999
Bankside Urban Forest,"Meet: Sat 12noon and 3pm at Bankside Community Space, 18 Great Guildford Street, SE1 0FD, London, England",/building/19582
Banqueting House,"Whitehall, SW1A 2ER, London, England",/building/1522
BAPS Shri Swaminarayan Mandir,"105-119 Brentfield Road, Neasden, NW10 8LD, London, England",/building/2519
Barbican Open Garden,"Meet: Ticket Hall of Barbican Station, EC1A 4JA, London, England",/building/20429
Barking Abbey with St Margaret's Church,"The Broadway, North Street, Barking, IG11 8AS, London, England",/building/16247
Barking Riverside Development - Rivergate Centre Buzzards Mouth,"Entry to Exhibition in Rivergate Centre on Minter Road (access via Marine Drive), Barking, IG11 0FJ, London, England",/building/18155
Barking Town Centre Tour,"Meet: Sun 10am, 12noon, 2pm, 4pm outside Barking Town Hall, Clockhouse Avenue, Barking, IG11 7LU, London, England",/building/19577
Battersea Arts Centre,"Lavender Hill, SW11 5TN, London, England",/building/730
Battle of Britain Bunker at RAF Uxbridge,"St Andrews Road (off Vine Lane), Uxbridge, UB10 0RN, London, England",/building/19328
Bedford Park,"Meet: Sun 2.30pm at Victorian Society (garden), 1 Priory Gardens, W4 1TT, London, England",/building/4910
BedZED,"24 Helios Road, Wallington, SM6 7BZ, London, England",/building/14760
Bells and Belfries at St Botolph Aldgate,"Aldgate High Street, EC3N 1AB, London, England",/building/4154
Benjamin Franklin House,"36 Craven Street, WC2N 5NF, London, England",/building/3992
Bernard Weatherill House,"8 Mint Walk, Croydon, CR0 1QQ, London, England",/building/19630
Bertram Street Low Energy Victorian Terrace,"8 Bertram Street, N19 5DQ, London, England",/building/18630
Bevis Marks Synagogue,"Bevis Marks, EC3A 5DQ, London, England",/building/3477
Billingsgate Roman House and Baths,"101 Lower Thames Street, EC3R 6DL, London, England",/building/18631
Bishopsgate Institute,"230 Bishopsgate, EC2M 4QH, London, England",/building/3716
Black and White Building,"74 Rivington Street, EC2A 3AY, London, England",/building/20419
Blackheath House,"195 Shooters Hill Road, SE3 8UL, London, England",/building/18918
Boone's Chapel,"Lee High Road, SE13 5PH, London, England",/building/2833
Boston Manor House,"Boston Manor Road, Brentford, TW8 9JX, London, England",/building/2315
Boundary,"2-4 Boundary Street, E2 7DD, London, England",/building/17910
Bow Arts,"183 Bow Road, E3 2SJ, London, England",/building/19904
Bow Church - St Mary's and Holy Trinity,"Bow Road, E3 3AH, London, England",/building/2993
Bow School,"Bow School, Gillender Street E3 3QW, E3 3JY, London, England",/building/19585
Bower House,"Orange Tree Hill, Havering-atte-Bower, Romford, RM4 1PB, London, England",/building/-3028
Brackenbury Road,"108 Brackenbury Road, W6 0BD, London, England",/building/20203
Brandlehow Primary School,"Brandlehow Road, SW15 2ED, London, England",/building/16748
Brent Civic Centre,"Engineers Way, Wembley, HA9 0FJ, London, England",/building/19618
Brentham Garden Suburb,"Meet: Sat/Sun 10.30am at The Brentham Club, 38 Meadvale Road, W5 1NP, London, England",/building/3078
Brewster Gardens,"42 Brewster Gardens, W10 6AJ, London, England",/building/20270
British Medical Association House,"Tavistock Square, WC1H 9JP, London, England",/building/910
Broadgate Art Tour,"Broadgate Circle, EC2A 2QS, London, England",/building/20321
Brockley Hill Farm,"Brockley Hill Farm, Brockley Hill, Stanmore, HA7 4LN, London, England",/building/20398
"Brompton Cemetery Chapel, Colonnades and Memorials","Old Brompton Road SW5 or Fulham Road, SW10 9UG, London, England",/building/2406
Bruce Castle Museum,"Lordship Lane, N17 8NU, London, England",/building/2363
Brunel Museum,"Railway Avenue, SE16 4LF, London, England",/building/1798
BT Tower,"45 Maple Street, W1T 4BG, London, England",/building/3865
Buddhapadipa Temple,"14 Calonne Road, SW19 5HJ, London, England",/building/3607
Build a lego masterpiece! at the Royal College of Physicians,"Royal College of Physicians, 11 St Andrews Place, Regent's Park, NW1 4LE, London, England",/building/20450
Build a View Shaper,"30 St Mary Axe Plaza, London,, EC3A 8EP, London, England",/building/19664
Bunhill Heat and Power Energy Centre,"Central Street, EC1V 3QB, London, England",/building/19356
